package_id	place_name	province	latitude	longitude	category	duration_days	min_price	avg_price	max_price	transport	accommodation	rating	reviews_count	popularity_score	best_season	difficulty	nearby_city	tags	created_at
PKG0001	Sandspit Beach Viewpoint	Islamabad Capital	36.334585	74.1217	Nature	10	16388	17980	21266	Road	3-star	4.1	890	2.63	Summer	Moderate	Lahore	hiking,food,family	2024-06-07T20:38:27.495065
PKG0002	Sakesar Lake	Sindh	26.54609	66.138465	Beach	10	500	2328	4457	Air	3-star	4.4	330	0.34	All Year	Hard	Lahore	wildlife,budget,beach	2025-10-13T20:38:27.495115
PKG0003	Ranikot Fort	Khyber Pakhtunkhwa	36.272331	73.989993	Beach	4	17738	18475	20948	Hike	Budget Hotel	4.6	175	0.1	Winter	Easy	Gwadar	culture,heritage,hiking	2023-12-27T20:38:27.495151
PKG0004	Karoonjhar Hills	Gilgit-Baltistan	34.490762	74.666043	Trekking	4	8806	11514	13661	Train	4-star	3.9	764	0.41	Winter	Hard	Rawalpindi	lake,trek,hiking	2025-08-28T20:38:27.495181
PKG0005	Hub River	Punjab	31.529852	70.380688	Religious	1	9661	10451	11433	Air	Budget Hotel	3.2	64	1.13	Autumn	Easy	Hunza	trek,family,photography	2024-06-22T20:38:27.495207
PKG0006	Murree Mall Road	Gilgit-Baltistan	34.293871	77.113085	Cultural	4	11461	13898	17732	Air	Budget Hotel	3.4	198	0.3	Winter	Moderate	Sialkot	luxury,beach,mountains	2023-12-13T20:38:27.495233
PKG0007	Neelum Valley Heritage Site	Azad Kashmir	32.090507	73.115728	City	2	2033	3551	5620	Air	Luxury Resort	3.5	918	1.22	Summer	Moderate	Islamabad	family,beach,trek	2025-08-16T20:38:27.495257
PKG0008	Ranikot	Islamabad Capital	35.848095	73.341952	Historical	10	4663	5223	6487	Air	Guesthouse	4.5	832	1.44	Winter	Moderate	Peshawar	luxury,mountains,heritage	2024-10-09T20:38:27.495289
PKG0009	Badshahi Mosque, Lahore	Balochistan	27.591218	67.704424	Cultural	5	3501	5733	10219	Air	Guesthouse	4.3	607	1.87	Summer	Easy	Skardu	hiking,culture,mountains	2023-09-28T20:38:27.495328
PKG0010	Ziarat	Punjab	28.300854	71.860731	Adventure	1	8818	11398	12554	Air	Budget Hotel	4.7	139	0.21	Summer	Moderate	Karachi	wildlife,trek,food	2024-03-03T20:38:27.495363
PKG0011	Eagle's Nest, Gilgit	Gilgit-Baltistan	33.9919	75.444239	City	5	4053	5389	8462	Air	3-star	5.0	810	0.26	Summer	Hard	Gilgit	family,beach,budget	2023-09-24T20:38:27.495401
PKG0012	Naltar Valley	Punjab	30.749713	74.990727	Nature	2	9096	11798	14044	Hike	3-star	4.2	271	4.8	Autumn	Easy	Peshawar	budget,family,heritage	2024-08-10T20:38:27.495426
PKG0013	Kotli Heritage Site	Azad Kashmir	33.315103	76.60312	Historical	10	12209	13935	15283	Air	3-star	3.6	236	0.75	Spring	Hard	Hunza	heritage,family,hiking	2024-02-21T20:38:27.495449
PKG0014	Kotli	Azad Kashmir	33.557282	74.824983	Beach	10	23168	25669	28226	Road	Budget Hotel	4.8	867	0.41	Autumn	Easy	Lahore	budget,heritage,photography	2025-02-06T20:38:27.495472
PKG0015	Kalash Valley	Azad Kashmir	34.151013	74.934005	Historical	2	12622	13430	15151	Hike	Budget Hotel	4.3	756	0.19	All Year	Hard	Islamabad	luxury,heritage,mountains	2024-12-21T20:38:27.495494
PKG0016	Gurez Valley	Islamabad Capital	36.513178	70.279369	City	4	1423	2945	4287	Train	Luxury Resort	3.4	832	0.63	All Year	Hard	Islamabad	trek,heritage,hiking	2024-09-05T20:38:27.495517
PKG0017	Margalla Hills	Sindh	27.919387	67.493113	Trekking	4	10644	12236	14040	Road	4-star	4.7	79	0.66	Winter	Easy	Peshawar	beach,budget,family	2025-03-13T20:38:27.495541
PKG0018	Khewra Crystal Caves	Punjab	31.960199	71.390796	Beach	2	573	2216	5592	Hike	4-star	4.3	1098	3.24	Autumn	Easy	Karachi	family,heritage,wildlife	2025-02-03T20:38:27.495588
PKG0019	Attabad Lake	Punjab	31.579428	71.074123	City	7	1955	4938	9627	Road	4-star	4.5	1180	0.1	Summer	Moderate	Lahore	hiking,luxury,mountains	2024-05-18T20:38:27.495617
PKG0020	Minar-e-Pakistan Trail	Azad Kashmir	35.81658	75.1517	Religious	6	10226	12492	13565	Train	Luxury Resort	4.6	642	2.61	Spring	Hard	Quetta	culture,family,photography	2024-09-09T20:38:27.495640
PKG0021	Hinglaj Mata Temple area	Balochistan	30.18325	66.326475	Religious	7	1912	3964	5889	Hike	Luxury Resort	4.0	616	3.98	Winter	Hard		mountains,family,hiking	2025-03-31T20:38:27.495662
PKG0022	Badin	Islamabad Capital	34.159909	73.968234	Cultural	8	500	1000	3250	Hike	4-star	4.7	347	0.13	Spring	Moderate	Hunza	photography,food,wildlife	2024-11-23T20:38:27.495685
PKG0023	Taxila Museum	Islamabad Capital	36.391998	71.449212	Beach	4	1046	2361	4068	Road	Budget Hotel	3.6	501	2.62	Winter	Hard		food,lake,beach	2024-09-03T20:38:27.495710
PKG0024	Ormara Cliffs Falls	Gilgit-Baltistan	34.666611	75.678126	Cultural	7	12509	14008	15716	Road	Budget Hotel	4.3	870	1.28	Summer	Easy	Gwadar	hiking,culture,beach	2025-09-11T20:38:27.495732
PKG0025	Malakand Pass Valley	Sindh	29.00482	66.228152	Adventure	8	14494	17169	20268	Private Van	Luxury Resort	3.9	1033	2.86	Winter	Hard	Rawalpindi	heritage,hiking,beach	2024-07-29T20:38:27.495759
PKG0026	Multan	Islamabad Capital	32.163438	73.865969	Cultural	4	16348	17972	22075	Road	Camping	4.4	585	1.36	Summer	Moderate	Multan	budget,culture,lake	2025-06-13T20:38:27.495802
PKG0027	Frere Hall, Karachi	Sindh	25.798212	66.416832	Religious	2	500	1000	4839	Train	Luxury Resort	4.6	954	0.1	Winter	Easy	Peshawar	luxury,food,wildlife	2023-11-20T20:38:27.495837
PKG0028	Daman-e-Koh, Islamabad	Islamabad Capital	35.96394	73.494142	Cultural	1	500	1000	3946	Private Van	4-star	4.7	1102	1.42	All Year	Hard	Peshawar	beach,trek,family	2024-08-12T20:38:27.495866
PKG0029	Lasbela	Punjab	30.333143	73.013242	Trekking	3	11267	13681	15226	Hike	Luxury Resort	4.4	55	1.06	Winter	Hard	Skardu	photography,mountains,lake	2024-01-13T20:38:27.495889
PKG0030	Katas Raj	Sindh	28.701108	66.590374	Beach	7	2424	4264	6497	Private Van	3-star	4.6	691	0.16	Winter	Moderate	Gwadar	luxury,family,lake	2024-07-08T20:38:27.495913
PKG0031	Faisal Mosque, Islamabad	Azad Kashmir	34.736514	76.699447	City	4	3368	4149	4978	Road	Guesthouse	3.9	408	5.31	Spring	Hard	Islamabad	trek,heritage,beach	2023-12-17T20:38:27.495936
PKG0032	Hingol National Park	Gilgit-Baltistan	39.186542	74.290204	Beach	6	10821	12008	13446	Air	3-star	4.8	221	4.1	All Year	Easy	Quetta	wildlife,photography,luxury	2024-09-21T20:38:27.495958
PKG0033	Kumrat Valley Resort	Sindh	23.955979	69.643686	Religious	2	4086	5821	7312	Hike	Budget Hotel	4.5	711	4.46	All Year	Moderate	Gilgit	budget,lake,culture	2024-01-08T20:38:27.495983
PKG0034	Marine Drive, Karachi	Punjab	33.097454	73.933986	Nature	7	21248	23231	27497	Air	4-star	4.3	360	4.53	All Year	Hard	Quetta	wildlife,culture,beach	2024-07-13T20:38:27.496025
PKG0035	Thatta	Islamabad Capital	35.066157	71.650373	Religious	2	3145	4787	8979	Air	4-star	4.0	1167	0.52	All Year	Hard	Sialkot	budget,mountains,beach	2024-12-04T20:38:27.496049
PKG0036	Lake Saiful Muluk	Balochistan	27.272719	67.786994	City	5	13701	16642	19405	Hike	Budget Hotel	4.1	1058	3.94	Summer	Easy	Peshawar	hiking,luxury,beach	2024-04-12T20:38:27.496071
PKG0037	Rama Meadow Valley	Sindh	27.643656	69.375417	Cultural	8	8460	9030	10292	Train	Guesthouse	4.1	828	1.08	Summer	Moderate	Gilgit	wildlife,budget,beach	2024-04-14T20:38:27.496093
